track,card_id,race_date,breed,name,weight,age,sex,meds_and_equip,jockey,dollar_odds,program_number,post_position,claim_price,start_position,finish_position,finish_time,speed_rating,trainer,owner,win_payoff,place_payoff,show_payoff,weather,distance,race_type,track_conditions
WO ,D,2015-08-02 00:00:00,TB,Habemus Papam,119,5,G,Lbf,L Contreras,13.35,1.0,1,37500,3.0,4.0,0.0,73.0,Armata Vito,Dante Pagliaroli,0.0,0.0,0.0,Cloudy,850.0,Claiming,FT
WO ,D,2015-08-08 00:00:00,TB,Old Saint Pietro,120,4,G,Lb,M Z Buchanan,47.95,3.0,2,9500,4.0,10.0,0.0,36.0,Jolin Chris,Romell Verapen,0.0,0.0,0.0,Showery,500.0,Claiming,FT
WO ,D,2015-08-09 00:00:00,TB,Londie Lou,117,3,F,L,A Garcia,28.1,7.0,7,0,11.0,11.0,0.0,62.0,Di Pasquale Sam,James Redekop,0.0,0.0,0.0,Cloudy,700.0,Allowance,FM
WO ,D,2015-08-14 00:00:00,TB,Hawks Got Fire,119,6,G,b,L Contreras,28.95,2.0,2,37500,2.0,6.0,0.0,52.0,Glennon Darren C,"Rainbow End Racing Stable, House, Ronald K. and Cristello, T.",0.0,0.0,0.0,Cloudy,500.0,Claiming,FM
WO ,D,2015-08-14 00:00:00,TB,Lillz Pearl,121,5,G,Lb,J McAleney,3.8,3.0,3,0,7.0,2.0,0.0,88.0,Singh Ricky,Ricky Singh,0.0,5.7,3.3,Clear,500.0,Allowance,FT
WO ,D,2015-08-14 00:00:00,TB,Phil in the Blank,119,4,G,Lb,L Contreras,1.75,2.0,1,9500,1.0,2.0,0.0,81.0,Ensom Jim,Joey Gee Thoroughbreds,0.0,3.3,0.0,Cloudy,500.0,Claiming,FT
WO ,D,2015-08-22 00:00:00,TB,Zero Hour,119,3,C,L,P Husbands,1.75,5.0,5,0,6.0,1.0,0.0,90.0,Casse Mark E,Live Oak Plantation,5.5,4.2,3.1,Cloudy,700.0,Maiden Special Weight,FT
WO ,D,2015-08-23 00:00:00,TB,A. A. Grenade,119,7,G,Lb,E R Da Silva,5.45,3.0,3,9500,8.0,3.0,0.0,78.0,Attard Kevin,A and A Farms,0.0,0.0,4.7,Cloudy,850.0,Claiming,FT
WO ,D,2015-08-26 00:00:00,TB,Leading Wild,119,5,M,L,L Contreras,1.3,6.0,6,9500,7.0,6.0,0.0,53.0,McKnight Norman,Bruno Schickedanz,0.0,0.0,0.0,Cloudy,600.0,Claiming,FT
WO ,D,2015-08-28 00:00:00,TB,Jade Dragon,118,6,G,Lb,P Husbands,7.75,2.0,2,0,4.0,4.0,0.0,77.0,Ensom Jim,Joey Gee Thoroughbreds,0.0,0.0,0.0,Cloudy,600.0,Starters Allowance,FT
WO ,D,2015-08-28 00:00:00,TB,Sleepy P,123,5,G,Lb,S Ryan,13.05,12.0,9,0,10.0,6.0,0.0,64.0,Brnjas Ashlee,Colebrook Farms,0.0,0.0,0.0,Cloudy,700.0,Maiden Optional Claiming,FM
WO ,D,2015-08-28 00:00:00,TB,Jade Dragon,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Clear,600.0,Claiming,FT
WO ,D,2015-08-29 00:00:00,TB,Rainbows Ahead,118,3,F,,K Johnson,51.1,5.0,4,0,7.0,4.0,0.0,76.0,Day Phillips Catherine,Kingview Farms,0.0,0.0,0.0,Cloudy,600.0,Maiden Special Weight,FT
WO ,D,2015-08-29 00:00:00,TB,Sweet Rose,121,4,F,,L Contreras,2.95,3.0,3,0,4.0,3.0,0.0,86.0,Attard Sid C,Stronach Stables,0.0,0.0,3.1,Cloudy,500.0,Allowance,FT
WO ,D,2015-09-02 00:00:00,TB,Tap o'the Mountain,121,6,M,L,E Wilson,12.0,9.0,8,0,5.0,8.0,0.0,72.0,Black Ian,Janet Jeanpierre,0.0,0.0,0.0,Cloudy,600.0,Allowance,FM
WO ,D,2015-09-05 00:00:00,TB,Conquest Panthera,121,4,G,L,R M Hernandez,3.3,14.0,11,0,2.0,1.0,0.0,96.0,Casse Mark E,"Conquest Stables, LLC",8.6,5.1,4.1,Cloudy,650.0,Allowance,GD
WO ,D,2015-09-06 00:00:00,TB,Awsome Moi,123,4,G,L,E Wilson,19.4,10.0,10,0,10.0,10.0,0.0,61.0,Miller Blair A,Maplehaven Equestrian Center,0.0,0.0,0.0,Cloudy,600.0,Maiden Special Weight,FM
WO ,D,2015-09-12 00:00:00,TB,Philanthromister,121,4,G,Lb,M Z Buchanan,52.4,5.0,4,15000,5.0,6.0,0.0,57.0,Marrocco Jason,Ferreira Stables,0.0,0.0,0.0,Cloudy,500.0,Maiden Claiming,FT
WO ,D,2015-09-12 00:00:00,TB,Philanthromister,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Cloudy,500.0,Maiden Claiming,FT
WO ,D,2015-09-12 00:00:00,TB,Miss Metropolitan,118,3,F,Lb,P Husbands,21.9,6.0,6,0,5.0,3.0,0.0,79.0,Biamonte Ralph J,Brad Auger,0.0,0.0,8.4,Clear,800.0,Allowance,FM
WO ,D,2015-09-13 00:00:00,TB,Tower of Texas,123,5,G,Lb,E R Da Silva,5.7,7.0,7,0,3.0,3.0,0.0,107.0,Attfield Roger L,"Van Meter II, Thomas F. and Dilworth, Scott",0.0,0.0,4.9,Cloudy,800.0,Stakes,FM
WO ,D,2015-09-14 00:00:00,TB,Never Home,119,3,F,,J R Leparoux,9.55,9.0,8,0,7.0,7.0,0.0,68.0,Lynch Brian A,Lael Stables,0.0,0.0,0.0,Cloudy,850.0,Maiden Special Weight,FT
WO ,D,2015-09-16 00:00:00,TB,Penny Stamp,119,5,M,Lb,O Moreno,10.0,4.0,4,9500,6.0,1.0,0.0,63.0,Silvera Laurie,Laurie Silvera,22.0,8.3,4.6,Cloudy,600.0,Claiming,FT
WO ,D,2015-09-16 00:00:00,TB,Cold Ash,122,3,G,b,E Wilson,25.8,8.0,7,0,7.0,6.0,0.0,51.0,Attfield Roger L,Roger L. Attfield,0.0,0.0,0.0,Cloudy,850.0,Maiden Special Weight,FT
WO ,D,2015-09-18 00:00:00,TB,Real Coal,118,3,F,b,S P Husbands,11.95,2.0,2,20000,5.0,5.0,0.0,75.0,Attard Paul,Paul Mouttet,0.0,0.0,0.0,Cloudy,650.0,Claiming,FT
WO ,D,2015-09-25 00:00:00,TB,Courtville,119,7,G,L,R M Hernandez,14.4,1.0,1,47500,5.0,6.0,0.0,87.0,McKnight Norman,Tallyho Racing Ltd.,0.0,0.0,0.0,Cloudy,800.0,Claiming,FM
WO ,D,2015-09-26 00:00:00,TB,Thunder Point,123,4,G,L,S Ryan,21.8,10.0,9,0,5.0,2.0,0.0,76.0,Polsinelli Dominic J,Nick Sampogna,0.0,10.0,8.4,Cloudy,650.0,Maiden Special Weight,FM
WO ,D,2015-09-26 00:00:00,TB,Cozy Lead,121,5,G,L,J M Campbell,9.55,7.0,7,8000,5.0,6.0,0.0,71.0,Attard Jamie,Jamie T. Attard,0.0,0.0,0.0,Clear,650.0,Claiming,FT
WO ,D,2015-09-30 00:00:00,TB,Pretty Bird,119,4,M,L,E R Da Silva,2.45,5.0,5,19000,1.0,2.0,0.0,82.0,McHugh Saul,Debmar Stables,0.0,3.2,2.3,Cloudy,550.0,Claiming,FM
WO ,D,2015-09-30 00:00:00,TB,True Executive,119,7,G,Lbf,R M Hernandez,18.45,4.0,3,15000,9.0,10.0,0.0,38.0,Katryan Ken J,KJK Racing Inc,0.0,0.0,0.0,Cloudy,500.0,Claiming,FT
WO ,D,2015-10-02 00:00:00,TB,Conquest Mystique,119,3,C,L,R M Hernandez,1.5,1.0,1,0,3.0,3.0,0.0,82.0,Casse Mark E,"Conquest Stables, LLC",0.0,0.0,3.1,Cloudy,600.0,Maiden Special Weight,FM
WO ,D,2015-10-02 00:00:00,TB,Fair Astronomer,119,4,M,L,J I Alderson,19.8,10.0,9,9500,1.0,6.0,0.0,60.0,Keen Howard,Radcliffe Racing Stable,0.0,0.0,0.0,Cloudy,700.0,Claiming,FT
WO ,D,2015-10-03 00:00:00,TB,Who's Got It,121,3,G,Lb,G Boulanger,12.6,3.0,1,0,4.0,2.0,0.0,84.0,De Paulo Michael P,Mickey Demers,0.0,6.8,3.1,Cloudy,500.0,Maiden Special Weight,FT
WO ,D,2015-10-03 00:00:00,TB,Hardcastle,121,7,G,Lb,S Singh,61.15,2.0,2,0,2.0,5.0,0.0,82.0,Marrocco Jason,Jason Marrocco,0.0,0.0,0.0,Clear,500.0,Allowance,FT
WO ,D,2015-10-03 00:00:00,TB,Donnas Sweet Heart,121,4,M,L,J I Alderson,79.55,3.0,2,0,7.0,6.0,0.0,72.0,Miller Blair A,Hugh W. Blackmore,0.0,0.0,0.0,Cloudy,650.0,Allowance,FT
WO ,D,2015-10-04 00:00:00,TB,Awesome Mariner,119,3,F,L,R M Hernandez,59.45,2.0,2,0,1.0,7.0,0.0,41.0,De Paulo Michael P,Benjamin Hutzel,0.0,0.0,0.0,Cloudy,700.0,Maiden Special Weight,FT
WO ,D,2015-10-04 00:00:00,TB,Ghost Forest,121,4,G,L,G Olguin,4.45,3.0,3,23500,1.0,2.0,0.0,73.0,Attard Kevin,Keven McKinlay,0.0,3.3,3.0,Cloudy,550.0,Maiden Claiming,FM
WO ,D,2015-10-06 00:00:00,TB,Miss Aunty Re,123,4,M,Ly,A Garcia,9.9,6.0,6,10000,5.0,4.0,0.0,65.0,MacRae Donald C,Michael Loughry,0.0,0.0,0.0,Rainy,600.0,Maiden Claiming,FT
WO ,D,2015-10-06 00:00:00,TB,Miss Aunty Re,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Showery,500.0,Maiden Claiming,FT
WO ,D,2015-10-07 00:00:00,TB,Mick the Conqueror,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Cloudy,800.0,Maiden Claiming,FM
WO ,D,2015-10-07 00:00:00,TB,Mick the Conqueror,121,3,G,L,D Moran,6.65,9.0,9,0,8.0,2.0,0.0,80.0,Doyle Michael J,Dura Racing and M. J. Doyle Racing Stables Ltd.,0.0,5.4,3.5,Cloudy,850.0,Maiden Special Weight,FM
WO ,D,2015-10-09 00:00:00,TB,You Know Jack,118,3,G,L,J M Campbell,9.05,4.0,4,40000,4.0,5.0,0.0,72.0,Attard Jamie,Tucci Stables,0.0,0.0,0.0,Clear,650.0,Claiming,FM
WO ,D,2015-10-11 00:00:00,TB,Fabulous Flo,117,3,F,b,J Crawford,50.5,4.0,4,9500,7.0,8.0,0.0,9.0,Rideout Shawn,Paul B. Moligian,0.0,0.0,0.0,Cloudy,500.0,Maiden Claiming,FT
WO ,D,2015-10-11 00:00:00,TB,Good Deed Indeed,121,3,F,L,E R Da Silva,9.35,1.0,1,0,11.0,6.0,0.0,62.0,Gonzalez Nicholas,Michael James Ambler,0.0,0.0,0.0,Cloudy,600.0,Maiden Special Weight,FT
WO ,D,2015-10-12 00:00:00,TB,Machito,119,6,G,Lb,G Olguin,9.65,7.0,7,7500,7.0,1.0,0.0,81.0,McDonald Michael K,"McDonald, Mike K, and LeBlanc, April",21.3,9.9,4.9,Cloudy,700.0,Claiming,FT
WO ,D,2015-10-12 00:00:00,TB,Conquest Strate Up,119,4,M,L,P Husbands,5.25,8.0,7,0,7.0,3.0,0.0,90.0,Casse Mark E,"Conquest Stables, LLC",0.0,0.0,5.2,Cloudy,700.0,Stakes,FM
WO ,D,2015-10-12 00:00:00,TB,Fo'c'sle,119,3,G,L,P Husbands,14.65,4.0,3,0,8.0,6.0,0.0,76.0,Casse Mark E,East West Stables,0.0,0.0,0.0,Showery,650.0,Maiden Optional Claiming,FT
WO ,D,2015-10-12 00:00:00,TB,Kay's Grace,121,7,M,L,E Ramsammy,6.15,5.0,5,62500,5.0,3.0,0.0,75.0,Burry Lisa,"Burry, Lisa and Dunslow, Mike A.",0.0,0.0,14.1,Cloudy,600.0,Allowance Optional Claiming,FT
WO ,D,2015-10-12 00:00:00,TB,Boreal Spirit,118,4,G,L,D Moran,81.35,5.0,5,0,3.0,7.0,0.0,82.0,Shafer Jennifer,Spring Lakes Farm,0.0,0.0,0.0,Cloudy,600.0,Stakes,FT
WO ,D,2015-10-16 00:00:00,TB,Priddy Fair,116,3,F,,O Moreno,10.0,2.0,2,25000,1.0,7.0,0.0,60.0,Silvera Laurie,Laurie Silvera,0.0,0.0,0.0,Cloudy,600.0,Claiming,FT
WO ,D,2015-10-17 00:00:00,TB,Grand Indigo,120,3,F,b,J M Campbell,6.85,4.0,4,0,5.0,6.0,0.0,64.0,Attfield Roger L,Chiefswood Stable,0.0,0.0,0.0,Cloudy,650.0,Maiden Optional Claiming,FT
WO ,D,2015-10-18 00:00:00,TB,Paschali,119,3,F,b,D Moran,16.4,1.0,1,0,7.0,9.0,0.0,0.0,Lynch Brian A,Lael Stables and Three Chimneys Farm,0.0,0.0,0.0,Cloudy,650.0,Maiden Special Weight,FM
WO ,D,2015-10-18 00:00:00,TB,R Miss Hall,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Cloudy,550.0,Maiden Claiming,GD
WO ,D,2015-10-18 00:00:00,TB,Madison Man,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Cloudy,800.0,Maiden Claiming,FM
WO ,D,2015-10-18 00:00:00,TB,Devoted Wildcat,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Cloudy,500.0,Claiming,FT
WO ,D,2015-10-18 00:00:00,TB,Interject,121,5,M,L,P Husbands,11.9,7.0,7,0,9.0,3.0,0.0,94.0,Casse Mark E,Barber Gary and Alexander Helen C,0.0,0.0,8.9,Cloudy,850.0,Allowance Optional Claiming,FM
WO ,D,2015-10-18 00:00:00,TB,Paschali,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Clear,700.0,Maiden Special Weight,FM
WO ,D,2015-10-18 00:00:00,TB,Madison Man,0,0,,,,0.0,,0,0,0.0,0.0,,,,,0.0,0.0,0.0,Cloudy,650.0,Maiden Special Weight,FM
WO ,D,2015-10-21 00:00:00,TB,Creeping Barrage,121,8,G,Lbf,M Badal,75.7,7.0,7,0,10.0,13.0,0.0,52.0,Singh Ricky,Ricky Singh,0.0,0.0,0.0,Cloudy,600.0,Allowance,FT
WO ,D,2015-10-24 00:00:00,TB,Decision Day,121,4,G,Lb,L Contreras,11.85,3.0,3,0,2.0,4.0,0.0,93.0,Carroll Josie,Donver Stable,0.0,0.0,0.0,Cloudy,850.0,Allowance Optional Claiming,FT
WO ,D,2015-10-24 00:00:00,TB,Conquest Streetkid,123,4,H,Lb,P Husbands,0.5,3.0,3,0,1.0,2.0,0.0,88.0,Casse Mark E,"Conquest Stables, LLC",0.0,2.2,2.1,Cloudy,650.0,Maiden Special Weight,FT
WO ,D,2015-10-24 00:00:00,TB,Sligo Jane,121,3,F,L,J I Alderson,30.45,10.0,10,0,8.0,6.0,0.0,65.0,De Paulo Michael P,Gerald F. Pike,0.0,0.0,0.0,Cloudy,500.0,Maiden Special Weight,FT
WO ,D,2015-10-24 00:00:00,TB,Don't Leave Me,121,4,M,Lb,E R Da Silva,3.55,8.0,6,0,3.0,4.0,0.0,84.0,Pierce Malcolm,Pin Oak Stable,0.0,0.0,0.0,Hazy,850.0,Stakes,FT
WO ,D,2015-10-25 00:00:00,TB,Ringo Classic,123,4,G,Lb,J Crawford,107.85,3.0,3,0,4.0,6.0,0.0,74.0,Zita Danny,Fullthrottle Racing Stables,0.0,0.0,0.0,Cloudy,650.0,Maiden Special Weight,FM
WO ,D,2015-10-25 00:00:00,TB,Osuuspankki,116,8,G,L,F Crausaz,61.05,4.0,3,0,3.0,9.0,0.0,61.0,Birtch Daniel R,Keith Nicholson,0.0,0.0,0.0,Cloudy,650.0,Allowance,FT
WO ,D,2015-10-25 00:00:00,TB,Biigon,121,5,G,Lb,J I Alderson,11.05,9.0,9,0,8.0,6.0,0.0,81.0,Brnjas Ashlee,Colebrook Farms,0.0,0.0,0.0,Hazy,850.0,Allowance,FM
WO ,D,2015-10-28 00:00:00,TB,Adjala Angel,119,7,M,L,J I Alderson,98.25,2.0,2,9500,9.0,9.0,0.0,17.0,Hau Kai Wing,"Grandview Thoroughbreds, Ltd.",0.0,0.0,0.0,Cloudy,600.0,Claiming,FT
WO ,D,2015-10-28 00:00:00,TB,Wittle Wed Wabbit,121,4,G,L,J I Alderson,13.0,3.0,2,11500,8.0,5.0,0.0,60.0,McEwin Cathy A,Cathy McEwin,0.0,0.0,0.0,Cloudy,850.0,Maiden Claiming,FT
WO ,D,2015-10-30 00:00:00,TB,Classyshadesofgrey,121,4,M,Lb,P Husbands,4.05,4.0,4,40000,4.0,1.0,0.0,91.0,Ross John A,"Passero, James L. and J.R. Racing Stable Inc.",10.1,4.8,3.1,Hazy,600.0,Claiming,FM
WO ,D,2015-10-31 00:00:00,TB,Targeting,121,4,M,L,G Boulanger,27.55,8.0,8,0,4.0,10.0,0.0,67.0,Casse Mark E,Debby M. Oxley,0.0,0.0,0.0,Cloudy,700.0,Allowance,FM
WO ,D,2015-10-31 00:00:00,TB,Autonomic,118,3,F,Lb,E R Da Silva,4.1,12.0,11,0,1.0,9.0,0.0,67.0,Pierce Malcolm,Sam-Son Farm,0.0,0.0,0.0,Clear,700.0,Maiden Special Weight,FM
WO ,D,2015-10-31 00:00:00,TB,Courtisinsession,118,3,G,Lb,L Contreras,8.15,3.0,2,20000,11.0,7.0,0.0,71.0,Minshall Barbara J,Minshall Farms,0.0,0.0,0.0,Cloudy,600.0,Maiden Claiming,FT
WO ,D,2015-10-31 00:00:00,TB,Daylight Breeze,121,4,G,Lbf,G Boulanger,22.05,3.0,3,0,9.0,3.0,0.0,98.0,McPherson Alexander F,Hopefield Farm,0.0,0.0,8.9,Clear,700.0,Allowance,FT
WO ,D,2015-11-01 00:00:00,TB,Gotta Get Away,118,3,C,Lbf,P Husbands,5.85,6.0,5,0,1.0,1.0,0.0,80.0,Pierce Malcolm,Sam-Son Farm,13.7,5.0,3.9,Clear,850.0,Maiden Special Weight,FM
WO ,D,2015-11-01 00:00:00,TB,Sea to Sea,121,4,G,L,E R Da Silva,2.85,10.0,10,0,8.0,8.0,0.0,79.0,Pierce Malcolm,Sam-Son Farm,0.0,0.0,0.0,Cloudy,650.0,Allowance,FM
WO ,D,2015-11-04 00:00:00,TB,Emma's Love,118,6,M,Lb,G Olguin,63.05,1.0,1,0,7.0,6.0,0.0,53.0,Jones Roy C,Gino Panza,0.0,0.0,0.0,Cloudy,650.0,Starters Allowance,FT
WO ,D,2015-11-04 00:00:00,TB,O Wanderlust,119,7,G,Lb,S Ryan,70.7,4.0,4,47500,1.0,10.0,0.0,73.0,Mattine John,Uri Fishman,0.0,0.0,0.0,Cloudy,800.0,Claiming,FM
WO ,D,2015-11-05 00:00:00,TB,Frugal Franny,118,3,F,L,G Boulanger,34.45,4.0,3,0,6.0,7.0,0.0,49.0,Cox Gail,"Menary, John and Cox, Gail",0.0,0.0,0.0,Cloudy,600.0,Maiden Special Weight,FT
WO ,D,2015-11-07 00:00:00,TB,Gazcader,121,3,G,L,J M Campbell,6.95,6.0,6,0,9.0,4.0,0.0,77.0,Buntain Angus,Greenoaks Farm,0.0,0.0,0.0,Cloudy,850.0,Maiden Special Weight,FM
WO ,D,2015-11-07 00:00:00,TB,Lemoncella Kid,119,3,F,Lb,E Wilson,14.5,6.0,6,40000,3.0,7.0,0.0,46.0,Gonzalez Nicholas,Terra Racing Stable,0.0,0.0,0.0,Cloudy,700.0,Maiden Optional Claiming,FM
WO ,D,2015-11-07 00:00:00,TB,Secret Action,118,4,M,L,D Moran,53.95,2.0,2,0,4.0,10.0,0.0,85.0,Doyle Michael J,RGH Bloodstock Inc Gale Dan and M J Doyle Racing Stable Ltd,0.0,0.0,0.0,Cloudy,900.0,Stakes,FM
WO ,D,2015-11-07 00:00:00,TB,Rhoda's Romeo,121,5,G,L,D Garcia,36.15,3.0,3,47500,11.0,10.0,0.0,59.0,Chubb Beverley,Beverley Chubb,0.0,0.0,0.0,Cloudy,800.0,Maiden Claiming,FM
WO ,D,2015-11-07 00:00:00,TB,Soul n' Spirit,121,4,G,Lf,J I Alderson,18.7,6.0,6,23500,6.0,5.0,0.0,50.0,Coryat John A,Dwayne Scantlebury,0.0,0.0,0.0,Clear,650.0,Maiden Claiming,FT
